,ISO,COUNTRY_CODE,STATE_CODE,STATE_ISO,SOURCE,ID,CONCEPT,TITLE,RESUME,PUBLICATION_DATE,URL,DOC_TYPE,SCRAPING_STATUS,TIMESTAMP
25,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31031,LEY,LEY 31031,LEY QUE MODIFICA LA LEY ORGÁNICA DEL TRIBUNAL CONSTITUCIONAL PARA GARANTIZAR LA ELECCIÓN MERITOCRÁTICA Y TRANSPARENTE DE MAGISTRADOS DEL TRIBUNAL CONSTITUCIONAL,2020-07-23,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/31031-LEY.pdf,pdf,,
26,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31032,LEY,LEY 31032,"LEY QUE MODIFICA EL ARTÍCULO 21 DE LA LEY 26859, LEY ORGÁNICA DE ELECCIONES, PARA LA CREACIÓN DE LA CIRCUNSCRIPCIÓN DE ELECTORES PERUANOS RESIDENTES EN EL EXTRANJERO",2020-07-23,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/31032-LEY.pdf,pdf,,
27,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31033,LEY,LEY 31033,LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CONSTRUCCIÓN DEL PUENTE SOBRE EL RÍO PICHIS EN EL DISTRITO DE PUERTO BERMÚDEZ DE LA PROVINCIA DE OXAPAMPA EN EL DEPARTAMENTO DE PASCO,2020-07-23,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/31033-LEY.pdf,pdf,,
28,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31034,LEY,LEY 31034,"LEY QUE DECLARA DE INTERÉS Y NECESIDAD PÚBLICA EL MEJORAMIENTO DE LA CARRETERA DE INTEGRACIÓN ALFONSO BARRANTES LINGÁN EN LA PROVINCIA DE SAN MIGUEL, DEPARTAMENTO DE CAJAMARCA",2020-07-23,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/31034-LEY.pdf,pdf,,
29,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31035,LEY,LEY 31035,LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO EL MILAGRO,2020-07-25,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/31035-LEY.pdf,pdf,,
30,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31036,LEY,LEY 31036,"LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE ANDRÉS ARAUJO MORÁN, EN LA PROVINCIA Y DEPARTAMENTO DE TUMBES",2020-08-14,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/31036-LEY.pdf,pdf,,
31,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31037,LEY,31037,"LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CONSTRUCCIÓN DEL INSTITUTO REGIONAL DE SALUD DEL NIÑO EN LA CIUDAD DE TRUJILLO, LA LIBERTAD",2020-08-19,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/31037-LEY.pdf,pdf,,
32,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31038,LEY,LEY 31038,"LEY QUE ESTABLECE NORMAS TRANSITORIAS EN LA LEGISLACIÓN ELECTORAL PARA LAS ELECCIONES GENERALES 2021, EN EL MARCO DE LA EMERGENCIA NACIONAL SANITARIA OCASIONADA POR LA COVID-19",2020-08-22,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/31038-LEY.pdf,pdf,,
33,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31039,LEY,31039,"LEY QUE REGULA LOS PROCESOS DE ASCENSO AUTOMÁTICO EN EL ESCALAFÓN, EL CAMBIO DE GRUPO OCUPACIONAL, CAMBIO DE LÍNEA DE CARRERA, EL NOMBRAMIENTO Y CAMBIO A PLAZO INDETERMINADO DE LOS PROFESIONALES, TÉCNICOS, AUXILIARES ASISTENCIALES Y PERSONAL ADMINISTRATIVO DE LA SALUD",2020-08-26,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/31039-LEY.pdf,pdf,,
34,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31040,LEY,31040,"LEY QUE MODIFICA EL CÓDIGO PENAL Y EL CÓDIGO DE PROTECCIÓN Y DEFENSA DEL CONSUMIDOR, RESPECTO DEL ACAPARAMIENTO, ESPECULACIÓN Y ADULTERACIÓN",2020-08-29,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/31040-LEY.pdf,pdf,,
35,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31041,LEY,31041,LEY DE URGENCIA MÉDICA PARA LA DETECCIÓN OPORTUNA Y ATENCIÓN INTEGRAL DEL CÁNCER DEL NIÑO Y EL ADOLESCENTE.,2020-09-02,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/31041-LEY.pdf,pdf,,
